Ano;Trimestre;Categoria;Tipo;Instituição financeira;Irregularidade;Quantidade de reclamações procedentes
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Abertura de conta de pagamento sem documentação necessária ou com documentação falsa - instituição de pagamento;32
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Bloqueio de valores ou de conta fora do âmbito do Pix - instituição de pagamento;2
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Cadastro positivo envolvendo instituição de pagamento;0
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Cobranças diversas de IPs;0
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Descumprimento de prazo de resposta da reclamação registrada no BCB - instituição de pagamento;2
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Débito em conta de pagamento pré-paga não autorizado pelo cliente, ou não cumprimento das regras aplicáveis - instituição de pagamento;0
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Falta de transparência na redação de documentos - instituição de pagamento;2
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Inclusão de dados incorretos no CCS (Cadastro de Clientes do Sistema Financeiro Nacional) - instituição de pagamento;10
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Insatisfação com a resposta referente à reclamação registrada no BCB recebida - instituição de pagamento;2
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento - instituição de pagamento;10
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Irregularidade na portabilidade salarial para contas de pagamento pré-pagas - instituição de pagamento;0
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Irregularidades no processo de encerramento de conta de pagamento - instituição de pagamento;12
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Irregularidades relacionadas a boletos de pagamento (exceto ausência de contrato com beneficiário) para IPs;0
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Irregularidades relacionadas a informações e liquidação de valores a receber no sistema SVR do BCB - instituições de pagamento;0
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Irregularidades relacionadas ao acompanhamento de conta de pagamento - instituição de pagamento;20
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Irregularidades relacionadas ao fornecimento de documentos por conta de pagamentos pós-paga - instituição de pagamento;0
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Irregularidades relacionadas ao fornecimento de documentos por conta de pagamentos pré-paga - instituição de pagamento;2
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR) - instituição de pagamento;0
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Irregularidades relacionadas à liquidação de documentos (exceto cheques) - instituição de pagamento;0
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a conta de pagamento pós-paga - instituição de pagamento;7
2026;2º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;99PAY IP (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a conta de pagamento pré-paga - instituição de pagamento;20
